geoid,ctcntalcoholclass1,ctcntalcoholclass2,ctcntalcoholclass3,ctcntalcoholclass4,ctcntalcoholclass5,ctcntalcoholall
36085000900,0.0,1.0,0.0,0.0,0.0,1.0
36085001100,3.0,6.0,0.0,1.0,4.0,14.0
36085001700,2.0,4.0,0.0,0.0,0.0,6.0
36085002700,6.0,6.0,0.0,2.0,0.0,14.0
36085002900,0.0,11.0,0.0,0.0,5.0,16.0
36085003300,1.0,1.0,0.0,0.0,2.0,4.0
36085003900,1.0,0.0,0.0,0.0,0.0,1.0
36085005900,5.0,3.0,0.0,0.0,1.0,9.0
36085006700,2.0,4.0,0.0,0.0,1.0,7.0
36085007500,1.0,2.0,0.0,0.0,0.0,3.0
36085007700,0.0,4.0,0.0,0.0,0.0,4.0
36085010500,8.0,10.0,0.0,0.0,4.0,22.0
36085011401,4.0,4.0,1.0,0.0,0.0,9.0
36085011402,5.0,3.0,0.0,1.0,2.0,11.0
36085012100,6.0,6.0,0.0,0.0,0.0,12.0
36085012200,11.0,5.0,0.0,1.0,4.0,21.0
36085012500,2.0,4.0,1.0,0.0,2.0,9.0
36085012804,5.0,5.0,0.0,0.0,4.0,14.0
36085013301,0.0,0.0,0.0,0.0,1.0,1.0
36085013400,13.0,5.0,0.0,0.0,5.0,23.0
36085013800,1.0,1.0,0.0,0.0,0.0,2.0
36085014605,3.0,2.0,0.0,0.0,1.0,6.0
36085014608,0.0,1.0,0.0,0.0,0.0,1.0
36085014700,5.0,2.0,0.0,0.0,2.0,9.0
36085015601,9.0,6.0,0.0,0.0,0.0,15.0
36085017005,6.0,6.0,0.0,0.0,4.0,16.0
36085017007,1.0,0.0,0.0,1.0,0.0,2.0
36085017009,0.0,0.0,0.0,0.0,0.0,0.0
36085017011,1.0,1.0,1.0,0.0,2.0,5.0
36085018901,6.0,4.0,1.0,0.0,1.0,12.0
36085018902,1.0,1.0,0.0,0.0,0.0,2.0
36085019700,0.0,1.0,0.0,0.0,1.0,2.0
36085020100,4.0,7.0,0.0,1.0,3.0,15.0
36085021300,9.0,8.0,0.0,2.0,5.0,24.0
36085024401,4.0,1.0,0.0,0.0,0.0,5.0
36085024402,2.0,0.0,0.0,0.0,0.0,2.0
36085027301,4.0,1.0,0.0,0.0,0.0,5.0
36085027302,0.0,0.0,0.0,0.0,0.0,0.0
36085027704,0.0,0.0,0.0,0.0,0.0,0.0
36085027705,0.0,0.0,0.0,0.0,0.0,0.0
36085027706,3.0,7.0,0.0,0.0,0.0,10.0
36085001800,0.0,0.0,0.0,0.0,0.0,0.0
36085003600,1.0,1.0,0.0,0.0,0.0,2.0
36085002002,2.0,3.0,0.0,1.0,0.0,6.0
36085004000,3.0,4.0,0.0,0.0,1.0,8.0
36085004700,1.0,1.0,0.0,0.0,1.0,3.0
36085006400,8.0,1.0,0.0,1.0,2.0,12.0
36085007400,4.0,5.0,0.0,0.0,0.0,9.0
36085013201,0.0,0.0,0.0,0.0,0.0,0.0
36085013203,5.0,1.0,0.0,2.0,4.0,12.0
36085013204,4.0,2.0,0.0,0.0,3.0,9.0
36085013302,4.0,8.0,0.0,3.0,2.0,17.0
36085014604,5.0,6.0,0.0,2.0,4.0,17.0
36085014607,3.0,7.0,0.0,1.0,2.0,13.0
36085015602,2.0,2.0,0.0,0.0,0.0,4.0
36085016901,5.0,4.0,0.0,0.0,1.0,10.0
36085017008,0.0,1.0,0.0,0.0,0.0,1.0
36085017012,1.0,0.0,0.0,0.0,0.0,1.0
36085017300,1.0,4.0,0.0,1.0,1.0,7.0
36085018701,1.0,1.0,0.0,0.0,2.0,4.0
36085018702,1.0,3.0,0.0,1.0,1.0,6.0
36085023100,3.0,7.0,0.0,1.0,1.0,12.0
36085023900,4.0,3.0,0.0,0.0,1.0,8.0
36085024700,3.0,4.0,0.0,2.0,1.0,10.0
36085025100,2.0,0.0,0.0,0.0,0.0,2.0
