t10_key,t10_057001m
36005000100,0
36005000200,59826
36005000400,71968
36005001600,30355
36005001900,25093
36005002000,24939
36005002300,13756
36005002400,0
36005002500,15207
36005002701,19450
36005002702,19300
36005002800,44036
36005003100,33603
36005003300,16021
36005003500,20403
36005003700,23304
36005003800,55625
36005003900,31566
36005004001,44432
36005004100,18272
36005004200,35816
36005004300,24594
36005004400,16086
36005004600,22146
36005004800,25168
36005005001,28933
36005005002,26439
36005005100,16283
36005005200,33750
36005005300,14821
36005005400,33672
36005005600,30402
36005005902,36098
36005006000,27574
36005006100,37936
36005006200,20952
36005006300,28735
36005006400,42596
36005006500,21119
36005006700,16745
36005006800,35078
36005006900,21316
36005007000,46313
36005007100,27303
36005007200,39638
36005007300,26364
36005007400,43725
36005007500,24291
36005007600,40919
36005007700,38472
36005007800,38150
36005007900,16161
36005008300,25172
36005008400,69722
36005008500,25783
36005008600,24250
36005008700,24808
36005008900,18387
36005009000,24129
36005009200,45625
36005009300,31000
36005009600,41597
36005009800,52725
36005011000,41641
36005011502,20536
36005011700,11250
36005011800,74607
36005011900,20253
36005012101,38750
36005012102,11396
36005012300,13981
36005012500,32550
36005012701,15938
36005012901,18142
36005013000,85929
36005013100,23596
36005013200,78125
36005013300,18514
36005013500,16782
36005013800,58291
36005014100,18900
36005014300,8694
36005014400,25844
36005014500,20368
36005014701,16892
36005014702,15625
36005014900,23767
36005015100,25639
36005015200,45161
36005015300,19095
36005015500,22250
36005015700,24336
36005015800,44167
36005015900,32400
36005016000,73325
36005016100,17011
36005016200,66204
36005016300,0
36005016400,77083
36005016500,16480
36005016600,85234
36005016700,39079
36005016900,23355
36005017100,0
36005017300,15417
36005017500,14446
36005017701,19182
36005017702,21384
36005017901,23045
36005017902,19233
36005018101,34623
36005018102,35424
36005018301,28630
36005018302,32467
36005018400,58750
36005018500,22473
36005018900,27294
36005019300,17287
36005019400,40455
36005019500,34821
36005019700,24543
36005019900,30880
36005020000,32145
36005020100,31538
36005020200,38333
36005020400,39375
36005020501,23615
36005020502,35709
36005020601,43479
36005020900,27440
36005021001,47444
36005021002,47280
36005021100,25875
36005021200,50578
36005021301,21500
36005021302,26302
36005021501,27386
36005021502,24181
36005021601,26016
36005021602,46672
36005021700,17722
36005021800,33131
36005021900,35268
36005022000,12359
36005022101,28008
36005022102,22092
36005022200,33516
36005022300,25597
36005022401,37287
36005022403,39519
36005022404,46988
36005022500,35000
36005022701,32436
36005022702,53173
36005022703,39141
36005022800,43977
36005022901,27908
36005022902,21985
36005023000,39402
36005023100,27228
36005023200,51373
36005023301,30049
36005023302,19696
36005023501,25463
36005023502,22445
36005023600,38913
36005023702,19490
36005023703,26439
36005023704,22610
36005023800,48368
36005023900,19246
36005024000,39219
36005024100,25694
36005024300,25983
36005024400,69545
36005024501,26168
36005024502,35256
36005024600,68600
36005024700,50600
36005024800,60088
36005024900,0
36005025000,51324
36005025100,29254
36005025200,53088
36005025300,22324
36005025400,54764
36005025500,24430
36005025600,42188
36005025700,32941
36005026100,58100
36005026300,21339
36005026400,56146
36005026500,23968
36005026601,54028
36005026602,43083
36005026701,25936
36005026702,31901
36005026900,35083
36005027300,40633
36005027401,66500
36005027402,67206
36005027600,0
36005027700,30823
36005027900,51667
36005028100,44974
36005028300,38777
36005028400,90170
36005028500,44022
36005028600,85096
36005028700,44709
36005028800,62386
36005028900,45968
36005029301,100776
36005029302,80313
36005029500,71936
36005029600,29967
36005029700,85859
36005030000,51577
36005030100,81705
36005030200,51544
36005030701,77217
36005030900,86053
36005031000,90461
36005031200,70750
36005031400,72478
36005031600,68225
36005031800,66736
36005031900,0
36005032300,69784
36005032400,26297
36005032600,68610
36005032800,37314
36005033000,41458
36005033201,43895
36005033202,22625
36005033400,28173
36005033500,100111
36005033600,28181
36005033700,84071
36005033800,42830
36005034000,39897
36005034200,70875
36005034300,51747
36005034400,36726
36005034500,70469
36005034800,44057
36005035000,65568
36005035100,62292
36005035600,80571
36005035800,60607
36005035900,22051
36005036000,66275
36005036100,14839
36005036300,20664
36005036400,58897
36005036501,26988
36005036502,30938
36005036700,17391
36005036800,65139
36005036901,14194
36005036902,35949
36005037000,68194
36005037100,20078
36005037200,52107
36005037300,27724
36005037400,18813
36005037504,19500
36005037600,53750
36005037800,44583
36005037900,21451
36005038000,35114
36005038100,27500
36005038200,48068
36005038301,25508
36005038302,17839
36005038500,20981
36005038600,41885
36005038700,29398
36005038800,36816
36005038900,23903
36005039000,35729
36005039100,22081
36005039200,57000
36005039300,17988
36005039400,35329
36005039500,27384
36005039600,41938
36005039700,17579
36005039800,57188
36005039901,21418
36005039902,24095
36005040100,33950
36005040302,19324
36005040303,25625
36005040304,32586
36005040400,48065
36005040501,29775
36005040502,24441
36005040600,37045
36005040701,24836
36005040702,29826
36005040800,32175
36005040900,50313
36005041100,39623
36005041300,40862
36005041400,48966
36005041500,30594
36005041800,42703
36005041900,33426
36005042000,51193
36005042100,35659
36005042200,49052
36005042300,37730
36005042400,65952
36005042500,31381
36005042600,68026
36005042800,70313
36005042901,27324
36005042902,29347
36005043000,48990
36005043100,32027
36005043400,44180
36005043500,17604
36005043600,51000
36005044200,38900
36005044400,58534
36005044800,76190
36005044901,63346
36005044902,55938
36005045101,52988
36005045102,72188
36005045600,64688
36005045800,26343
36005046000,34273
36005046201,48005
36005046202,36155
36005048400,55577
36005050400,0
36005051600,64701
36047000100,85396
36047000200,54688
36047000301,160833
36047000501,80107
36047000502,89545
36047000700,129097
36047000900,97385
36047001100,73269
36047001300,92599
36047001500,51875
36047001800,0
36047002000,34063
36047002100,163147
36047002200,38070
36047002300,18702
36047002901,9001
36047003000,58864
36047003100,63286
36047003300,80662
36047003400,58393
36047003500,50550
36047003600,54365
36047003700,75260
36047003800,82216
36047003900,55972
36047004100,89205
36047004300,109569
36047004400,83068
36047004500,102992
36047004600,57321
36047004700,104875
36047004900,80114
36047005000,68068
36047005100,85870
36047005201,24917
36047005202,64044
36047005300,68393
36047005400,49375
36047005601,57847
36047005602,56713
36047005800,50785
36047005900,53826
36047006000,66250
36047006200,52339
36047006300,85046
36047006400,58269
36047006500,82003
36047006600,47119
36047006700,107851
36047006800,41989
36047006900,87479
36047007000,60149
36047007100,37878
36047007200,37333
36047007400,30805
36047007500,82250
36047007600,37911
36047007700,113426
36047007800,34542
36047008000,27703
36047008200,52681
36047008400,27846
36047008500,15200
36047008600,0
36047008800,43321
36047009000,29052
36047009200,35417
36047009400,39830
36047009600,44606
36047009800,35821
36047010000,27434
36047010100,50513
36047010200,37704
36047010400,25625
36047010600,30459
36047010800,37953
36047011000,37083
36047011200,24819
36047011400,40779
36047011600,31315
36047011700,64471
36047011800,40170
36047011900,55156
36047012000,31750
36047012100,54336
36047012200,44722
36047012600,35061
36047012700,24656
36047012801,54688
36047012901,85989
36047012902,75972
36047013000,46037
36047013100,91667
36047013200,36007
36047013300,88851
36047013400,62557
36047013500,90833
36047013600,61534
36047013700,76058
36047013800,51563
36047013900,60659
36047014000,51942
36047014100,78674
36047014200,53622
36047014300,58571
36047014500,49842
36047014700,60184
36047014800,95833
36047014900,90175
36047015000,66136
36047015100,106955
36047015200,54758
36047015300,102295
36047015400,0
36047015500,102480
36047015700,113924
36047015900,103173
36047016000,48833
36047016100,100272
36047016200,85781
36047016300,74732
36047016400,70284
36047016500,116341
36047016600,71500
36047016700,108144
36047016800,66964
36047016900,72230
36047017000,59643
36047017100,90906
36047017200,46250
36047017400,51080
36047017500,0
36047017600,36875
36047017700,0
36047017800,52327
36047017900,52463
36047018000,33900
36047018100,75658
36047018200,37138
36047018300,83105
36047018400,36367
36047018501,22005
36047018600,45417
36047018700,59286
36047018800,72530
36047019000,36913
36047019100,51700
36047019200,37120
36047019300,40861
36047019400,32327
36047019500,50938
36047019600,43421
36047019700,69089
36047019800,34653
36047019900,53934
36047020000,50610
36047020100,74556
36047020200,79242
36047020300,48643
36047020400,66757
36047020500,70329
36047020600,63173
36047020700,95668
36047020800,48469
36047021000,53586
36047021100,70962
36047021200,47386
36047021300,47083
36047021400,27917
36047021500,63224
36047021600,41875
36047021700,41113
36047021800,32333
36047021900,30856
36047022000,30914
36047022100,38606
36047022200,26670
36047022400,38244
36047022600,43421
36047022700,40660
36047022800,43281
36047022900,51711
36047023000,26613
36047023100,61020
36047023200,26767
36047023300,35530
36047023400,36847
36047023500,53125
36047023600,31217
36047023800,34123
36047024000,36769
36047024100,39861
36047024200,42054
36047024300,26778
36047024400,34617
36047024500,47396
36047024600,47917
36047024700,33480
36047024800,48176
36047024900,43869
36047025000,42404
36047025100,34821
36047025200,45968
36047025300,44084
36047025400,41218
36047025500,16670
36047025600,35417
36047025700,26625
36047025800,38796
36047025901,26053
36047025902,20963
36047026000,41759
36047026100,24253
36047026200,41633
