"cd_id","boro_cd","cd_km2","cd_lndkm2","cd_strint","cd_intden","cd_sub12c","cd_sub12d","cd_b1","cd_b2","cd_b3","cd_b4","cd_b5","cd_a","cd_n","cd_rtlfar","cd_reskm2","cd_entrpy","cd_resdn1","cd_resdn1_z","cd_intden_z","cd_entrpy_z","cd_rtlfar_z","cd_sub12d_z","cd_beh_walk","cd_beh_walk_cat"
1,101,3.94485242893,3.94350156154,351,89.0071918376,23,5.83238009192,3600718,1e-006,47319063.658,6927742,105000972,162848495.658,5,0.85000532991,4.39608486378,0.534766525784,"6143.19350895580",-0.902449905872345,1.20164084434509,1.14329445362091,1.32931327819824,3.16455030441284,5.9363489151001,5
2,102,3.5221902569,3.5221902569,359,101.925215226,19,5.39437072225,4617345,179098,54904736.6744,10626412,23348705,93676296.6744,5,0.94786359196,5.10081694745,0.662740700001,"11562.85367767448",0.755307853221893,1.70954167842865,2.14733052253723,1.67074108123779,2.8651556968689,9.1480770111084,5
3,103,4.35778447681,4.35778447681,348,79.8570929453,8,1.83579524012,4627641,260547,60906407.2413,6200692.99876,2172147,74167435.24,5,0.56181335617,5.65839038819,0.413558382261,"13718.91910325050",1.41480207443237,0.841884315013886,0.192342042922974,0.323810398578644,0.432746797800064,3.20558571815491,5
4,104,4.49976512587,4.49976512587,208,46.2246348824,11,2.44457203705,4507872,1860006,66864098.1006,7591543.66748,24911392.2526,105734912.021,5,0.81402801278,6.21187798041,0.636922159361,"11706.60470623751",0.799278199672699,-0.480450689792633,1.94476819038391,1.20378828048706,0.848866701126099,4.31625080108643,5
5,105,4.06819849853,4.06819849853,290,71.2846239201,36,8.84912572801,2085539,2861933,40948232.1741,30773181.4769,227568315.31,304237200.961,5,1.53934090081,3.8042152516,0.49514991264,"9755.08833711559",0.202351242303848,0.504838645458221,0.832477807998657,3.73440766334534,5.22659969329834,10.500675201416,5
6,106,3.59594811344,3.59594811343,256,71.1912385621,4,1.11236310253,4259768.86409,205194,89295008.347,5838081.06289,49024945.9299,148622998.204,5,0.49630090832,8.29577773226,0.565412457756,"11246.83014596902",0.658643066883087,0.501166939735413,1.38373064994812,0.0952372178435326,-0.0617439784109592,2.57703399658203,5
7,107,4.93536321089,4.93536321073,255,51.6679298183,12,2.43143199145,6495079,1971710,131882123.877,4887306,4381038,149617256.877,5,0.67325079813,12.2522502298,0.322845782494,"9645.81997455857",0.168928384780884,-0.266435414552689,-0.519354104995728,0.71261602640152,0.839885056018829,0.935639977455139,3
8,108,5.12373939578,5.12373939578,327,63.8205760951,8,1.56135965982,5231173,196946,158489765.505,9569529.83219,12748150.9541,186235565.291,5,0.64404142984,14.7241810243,0.36097716693,"10068.79019982236",0.2983058989048,0.211372941732407,-0.220189929008484,0.610704481601715,0.245160639286041,1.14535403251648,4
9,109,3.88480163356,3.88303900332,211,54.3388824628,8,2.06024198911,10819161,31000,41614052,1745346,5762590.31263,59972149.3126,5,0.50858908059,3.86607193752,0.555758379711,"8426.89958348651",-0.203913196921349,-0.161420971155167,1.30798852443695,0.13811069726944,0.586163878440857,1.66692888736725,4
10,110,3.63130564051,3.63130564051,214,58.9319713584,11,3.02921348104,2490556,237574,55165501.2798,3138780,2502974,63535385.2798,5,0.4460601699,5.12504277202,0.339570039814,"10932.00543972407",0.562344908714294,0.0191665589809418,-0.388141989707947,-0.08005291223526,1.24848926067352,1.36180579662323,4
11,111,6.15173191992,6.15173191992,269,43.7275231596,5,0.81277924088,4132718,1e-006,48534729.9505,3175130,2286631,58129208.9505,5,0.60132657628,4.50902395798,0.388119243503,"11913.44302016584",0.862545609474182,-0.578630208969116,-0.00724363978952169,0.461672157049179,-0.266519874334335,0.471824049949646,2
12,112,7.24985497563,7.24985497528,363,50.0699670873,15,2.06900690443,4412025.59484,1e-006,67090786,3307940,1449569,76260320.5948,5,0.54975707543,6.23293797539,0.303842015856,"11626.45934968929",0.774763464927673,-0.329262882471085,-0.66845029592514,0.281745970249176,0.592155039310455,0.650951266288757,3
14,201,5.60162794115,5.60162794115,379,67.65890273,11,1.96371485496,4239757,1e-006,33903586.9008,2727222,6430545.12396,47301111.0248,5,0.62786788175,3.14974628999,0.553410966273,"10131.92714525516",0.317618131637573,0.362285315990448,1.28957152366638,0.55427485704422,0.520184278488159,3.04393410682678,5
15,202,5.71200659841,5.71177145073,251,43.9443353371,7,1.22553923251,1503890,1e-006,17850242.9729,1292292,2174311.53253,22820736.5054,5,0.52946512343,1.65834183692,0.470946014892,"11235.31925824472",0.655122101306915,-0.570105731487274,0.642583310604095,0.210947290062904,0.015615806914866,0.954162776470184,3
16,203,4.16340788716,4.15098104502,266,64.0812369691,2,0.4818138118,3820806,9115,29579199.9831,1610366.99938,3791019.15286,38810507.1354,5,0.42647397292,2.7479975992,0.494862483865,"10983.27014253887",0.578025698661804,0.221621409058571,0.830222725868225,-0.148389220237732,-0.492746144533157,0.988734483718872,3
17,204,5.13564154607,5.13564154607,354,68.9300444403,8,1.55774111729,3231731,3750,48383611,2975039,5703925,60298056,5,0.52356799431,4.49498454808,0.438421942373,"11302.15231145323",0.675564885139465,0.412263065576553,0.38741198182106,0.190372183918953,0.242687240242958,1.90829932689667,4
