t10_key,t10_km2,t10_lndkm2,t10_cnt,t10_resdn1_z,t10_intden_z,t10_entrpy_z,t10_rtlfar_z,t10_sub07d_z,t10_walk,t10_walk_cat
"36005000100",1.691294524,1.690813014,25,-4.5421,-2.9774,0,-2.2935,-.6993,0,0
"36005000200",.4764544634,.4732603874,46,-.069,-.472,-1.3325,-.3367,-.6993,-2.9096,1.0435
"36005000400",.7995011273,.7995001275,37,-.1032,-.5378,-1.1057,-.305,-.6993,-2.7511,1.1892
"36005001600",.4850795932,.4850795932,20,.1547,-1.3235,.2939,-.6975,-.6993,-2.2716,1.7
"36005001900",1.692263612,1.692263612,92,.3584,-.8116,.2951,-.0924,.34,.2115,3.2609
"36005002000",.396773749,.396773749,18,.3027,-1.722,.1207,-.9572,-.6993,-2.9551,1
"36005002300",.1046602825,.1046602825,10,.1976,-.3937,1.4756,.0784,.9354,2.2933,4.7
"36005002400",.6967435452,.696731309,9,.4507,-1.3445,-.804,-.3165,-.0633,-2.0775,1.7778
"36005002500",.1276479887,.1276479887,8,.2836,-.3971,.6302,.0692,.4251,1.0111,3.875
"36005002701",.081554026,.081554026,5,.375,-.7538,.3078,-.0868,.3251,.1673,3.2
"36005002702",.1556085414,.1556085414,12,.5583,-.6626,.5052,.0111,.331,.7429,3.6667
"36005002800",.4213342544,.4213275036,26,.5168,-1.2841,-.3362,-.1492,.131,-1.1216,2.1923
"36005003100",.1560366192,.1560366192,11,.842,-.5827,.7804,-.0549,.5391,1.5239,4.0909
"36005003300",.1523595228,.1523595228,13,.6563,-.3436,.9011,.4055,.6223,2.2416,4.5385
"36005003500",.1417084309,.1417084309,13,.7633,-.3653,.9964,.591,.688,2.6735,4.6154
"36005003700",.1660488088,.1660488088,1,.6601,.0757,1.2532,.9907,.8283,3.8081,5
"36005003800",.0633755619,.0633755619,5,.2808,-1.4859,.3259,-.7984,-.6993,-2.3769,1
"36005003900",.215853722,.215853722,10,.3286,-.2733,1.4717,.4682,.8382,2.8334,4.9
"36005004001",.1231226877,.1231226877,6,.4844,-.691,.3201,-.3532,-.0204,-.2601,2.8333
